epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.34375,0.009999999776482582,0.9459400177001953,0.5,0.9235506057739258
1,0.59375,0.009999999776482582,0.8771384358406067,0.7083333134651184,0.8500701785087585
2,0.59375,0.009999999776482582,0.8527188301086426,0.9166666865348816,0.8254866600036621
3,0.8541666865348816,0.009999999776482582,0.814351499080658,0.9583333134651184,0.7891285419464111
4,0.9479166865348816,0.009999999776482582,0.7862499356269836,0.9166666865348816,0.7648928761482239
5,0.9270833134651184,0.009999999776482582,0.7664899230003357,0.9583333134651184,0.7177584171295166
6,0.8854166865348816,0.009999999776482582,0.7458931803703308,0.9166666865348816,0.6844260692596436
7,0.8854166865348816,0.009999999776482582,0.7231044173240662,0.9583333134651184,0.6623467803001404
8,0.8645833134651184,0.009999999776482582,0.7062349319458008,1.0,0.6495260000228882
9,0.9375,0.009999999776482582,0.6866865158081055,0.9583333134651184,0.6203005909919739
10,0.9166666865348816,0.009999999776482582,0.6725050806999207,0.9583333134651184,0.6050353050231934
11,0.8958333134651184,0.009999999776482582,0.6588025689125061,1.0,0.597562849521637
12,0.8541666865348816,0.009999999776482582,0.659238338470459,0.9583333134651184,0.5972860455513
13,0.9479166865348816,0.009999999776482582,0.6359025835990906,0.9583333134651184,0.5777764320373535
14,0.9375,0.009999999776482582,0.6242923140525818,1.0,0.5462148189544678
15,0.9270833134651184,0.009999999776482582,0.6069480776786804,1.0,0.5456283688545227
16,0.90625,0.009999999776482582,0.6031615138053894,0.9583333134651184,0.5356544852256775
17,0.9375,0.009999999776482582,0.5870254635810852,1.0,0.5186862945556641
18,0.8854166865348816,0.009999999776482582,0.5903429985046387,0.9583333134651184,0.48415371775627136
19,0.90625,0.009999999776482582,0.5663343667984009,1.0,0.4824591875076294
20,0.8854166865348816,0.009999999776482582,0.5575833320617676,0.9583333134651184,0.4948183000087738
21,0.9479166865348816,0.009999999776482582,0.5470771193504333,0.9583333134651184,0.45359301567077637
22,0.9166666865348816,0.009999999776482582,0.5378248691558838,1.0,0.4577416479587555
23,0.9166666865348816,0.009999999776482582,0.5292084813117981,0.9583333134651184,0.43770018219947815
24,0.9479166865348816,0.009999999776482582,0.5217859148979187,0.9583333134651184,0.42798641324043274
25,0.96875,0.009999999776482582,0.511323869228363,0.9583333134651184,0.4208346903324127
26,0.9166666865348816,0.009999999776482582,0.5150413513183594,0.9583333134651184,0.40955379605293274
27,0.90625,0.009999999776482582,0.5083715319633484,0.9583333134651184,0.42562389373779297
28,0.96875,0.009999999776482582,0.48826804757118225,1.0,0.404331773519516
29,0.90625,0.009999999776482582,0.48379382491111755,0.9583333134651184,0.41753092408180237
30,0.9479166865348816,0.009999999776482582,0.48451659083366394,0.9583333134651184,0.40578344464302063
31,0.9583333134651184,0.009999999776482582,0.4684663712978363,0.9583333134651184,0.37378403544425964
